1 | DR9QOC5Wdbk | us | 90s | 2 | redmannothle | 2Pac - Thug Nature
2 | QlPYub-gTjE | us | 90s | 3.5 | redmannothle | 2Pac - Me Against The World (feat. Dramacydal)
3 | qTA0RuZoIxM | us | 00s | 2.5 | redmannothle | Aaliyah -Try Again (Original Video)
4 | YQKhYnVrbJU | us | 90s | 5 | redmannothle | Still Telling Lies (feat. Tony Sunshine)
5 | 1elKVzxcZU4 | us | 00s | 0 | redmannothle | Enlightened
6 | KNtbhYNfgW0 | us | 00s | 0 | redmannothle | River
7 | 9aofoBrFNdg | jp | 90s | 2.5 | つねきち | Biz Markie - Just A Friend (Official Video)
8 | PLT68mI5Pwc | jp | 00s | 2.5 | つねきち | Ante Up Remix (featuring Busta Rhymes, Teflon, and Remy Martin) (Official Video)
9 | ZPCAvzIFY-s | us | 20s | 2.5 | 飯嶋翔吾 | J.Cole "Love Yourz" (Official Music Video)
10 | W5hSdGt2M8w | us | 20s | 2.5 | 飯嶋翔吾 | J. Cole – Work Out (Official Music Video)
11 | lVehcuJXe6I | us | 20s | 2.5 | 匿名 | Outkast - B.O.B. (Bombs Over Baghdad) (Official HD Video)
12 | ewQwxIZRSNI | us | 00s | 2.5 | 青木 喬 takashi aoki | Busta Rhymes - What It Is (Official Video - Clean) ft. Kelis
13 | ipZvlG-wwWk | us | 20s | 2.5 | マナブ | Sarkodie - Adonai ft. Castro (Official Video)
14 | hOHKltAiKXQ | us | 20s | 2.5 | マナブ | Hanumankind, Kalmi - Hanumankind – Big Dawgs | Prod. Kalmi (Official Music Video) | Def Jam India
15 | SwOYIntD1Wk | us | 20s | 2.5 | 青木 喬 takashi aoki | Curren$y & The Alchemist - No Yeast (Feat. Boldy James) [OFFICIAL VIDEO]
16 | 61wtT8Jfmog | us | 20s | 2.5 | 青木 喬 takashi aoki | Boldy James & The Alchemist - "Double Hockey Sticks" Official Video
17 | Q5fgRm_gblk | us | 20s | 2.5 | 青木 喬 takashi aoki | Boldy James & The Alchemist - "Ten Pints"
18 | 0s76k0nRdxw | us | 20s | 2.5 | 青木 喬 takashi aoki | Boldy James feat. Evidence  "Grey October"  Official video
19 | KyYQcms0Shg | us | 20s | 2.5 | 青木 喬 takashi aoki | billy woods & Kenny Segal - Soft Landing (Official Video)
20 | AzqMHkYNSLc | us | 20s | 2.5 | 青木 喬 takashi aoki | billy woods "Born Alone" [OFFICIAL VIDEO]
21 | 8KcI1lp90GA | us | 20s | 2.5 | 青木 喬 takashi aoki | billy woods  - Asylum (Official Audio)
22 | eCGV26aj-mM | us | 10s | 2.5 | 青木 喬 takashi aoki | J. Cole - Wet Dreamz
23 | AXeugCTXsNs | us | 20s | 2.5 | 青木 喬 takashi aoki | JID - Crack Sandwich (Offiical Audio)
24 | WdzoMl9t814 | us | 20s | 2.5 | 青木 喬 takashi aoki | JID - Sistanem (Official Audio)
25 | vn9xLph8KwQ | us | 20s | 2.5 | 青木 喬 takashi aoki | JID (feat. Lil Durk) - Bruddanem (Official Audio)
26 | cNnefho7izk | us | 20s | 2.5 | 青木 喬 takashi aoki | Doechii - NISSAN ALTIMA
27 | F0cdbR5ognY | us | 20s | 3.5 | 青木 喬 takashi aoki | Doechii - DENIAL IS A RIVER
28 | phtcAd8j6Ro | us | 20s | 2.5 | 青木 喬 takashi aoki | Doechii - What It Is (Block Boy) feat. Kodak Black [Official Video]
29 | -XEuzeuVAZU | us | 20s | 2.5 | shin | iNTeLL, Pxwer, Sun God, Young Dirty Bastard - 7.O.D (Official Video)
30 | 4MKAukvNuQk | us | 00s | 2.5 | 青木 喬 takashi aoki | Speech - The Hey Song
31 | MXtwMb28d34 | us | 90s | 5 | redmannothle | 2Pac - Wanted Dead Or Alive (Feat. Snoop Dogg) (Official Music Video)
32 | ho7IONtgNCg | us | 00s | 4.5 | redmannothle | International Connects
33 | 1P90NkYgruI | us | 90s | 5 | redmannothle | Art of Facts (LP Dirty Version)
34 | tqu73IZwRTg | us | 90s | 5 | redmannothle | Jurassic 5 ‎- The Influence
35 | Cvj8i4oEo6c | jp | 90s | 5 | redmannothle | SHING02 - 憂国 ［Yukoku］
36 | U1s6_QMfA50 | jp | 00s | 0 | redmannothle | SPACE SAFARI  /  REI HARAKAMI
37 | KfnQhtwp_c4 | jp | 00s | 2.5 | redmannothle | Phonex
38 | dUkbsmQ7Pqw | jp | 00s | 0 | redmannothle | THA BLUE HERB "智慧の輪"【OFFICIAL MV】
39 | RalK9I_faLg | jp | 00s | 2 | redmannothle | DJ Krush & Anti Pop Consortium - Supreme Team
40 | 8-ncTsVSNqU | jp | 10s | 1 | redmannothle | DJ Krush - Toki No Tabiji (Official Music Video)
41 | ZdJ5e70Q8mw | us | 00s | 0.5 | 青木 喬 takashi aoki | Beastie Boys - Gratitude
42 | XflfiylNNXY | us | 00s | 4.5 | 青木 喬 takashi aoki | Beastie Boys - Three MC's and One DJ
43 | y4Hs30L6Cwk | us | 20s | 5 | 青木 喬 takashi aoki | Onyx - Slam Harder (HQ)
44 | yirVxFBnp2o | jp | 20s | 2.5 | 匿名 | BAD HOP / Life Style - T-Pablow, YZERR (Prod by Gold Digga)
45 | ED-kdgPsnPI | jp | 20s | 2.5 | 匿名 | BAD HOP - High Land feat. Tiji Jojo, Vingo & YZERR (Official Video)
46 | s0X311VDUeg | jp | 20s | 2.5 | 匿名 | BAD HOP - Bayside Dream feat. T-Pablow, Tiji Jojo & Benjazzy (Official Video)
47 | NcMfwZ8AgRI | jp | 20s | 2.5 | 匿名 | BAD HOP - Last Party Never End feat. Tiji Jojo, YZERR, Yellow Pato & Vingo(Official Video)
48 | WmgiI_juOP4 | jp | 20s | 2.5 | 匿名 | BAD HOP - Locker feat. G-k.i.d, Tiji Jojo & YZERR (Official Video)
49 | nYKGF93XByU | jp | 20s | 2.5 | 匿名 | BAD HOP - 4L feat. Bark, Benjazzy, C.O.S.A. & IO(Official Video)
50 | Uez2Zcox5kk | jp | 20s | 2.5 | 匿名 | BAD HOP - Day N Night feat. G-k.i.d, guca owl & KEIJU(Official Video)
51 | 6EWImmZfgtc | jp | 20s | 2.5 | 匿名 | BAD HOP - Empire Of The Sun feat. T-Pablow & Zeebra(Official Video)
52 | vLOJvyvdIR0 | jp | 20s | 2.5 | 匿名 | BAD HOP - KAWASAKI SONG feat. DJ TY-KOH,Bark, T-Pablow, Benjazzy, JJJ, BIM & A-THUG(Official Video)
53 | NnZ1Al36zGk | jp | 20s | 2.5 | 匿名 | G-k.i.d - Oneway Drive feat.Kohjiya [Official Music Video]
54 | PLOhUTL7ZCc | jp | 20s | 2.5 | 匿名 | G-k.i.d - HANEDA Feat. Kvi Baba & ELIONE [Official Music Video］
55 | W5F_aaUZHd0 | jp | 20s | 2.5 | 匿名 | Tiji Jojo - White T-Shirt 2 (Official Video)
56 | 5mmEgt5ZCZw | jp | 20s | 2.5 | 匿名 | YZERR / Back Stage feat. Tiji Jojo (Official Video)
57 | EJ1znwnhj68 | jp | 20s | 2.5 | 匿名 | ZOT on the WAVE feat. YZERR & Candee - TEIHEN (Official Music Video)
58 | 0yCXvGj0l-8 | jp | 20s | 2.5 | 匿名 | YZERR - Wet Skin feat. IO (Official Music Video)
59 | qhHqnVu9J2A | jp | 20s | 2.5 | 匿名 | YZERR - South Side (Official Video)
60 | oln4RPf77uE | jp | 20s | 2.5 | 匿名 | YZERR - Million Road(Official Video)
61 | kkqtTRZyKb0 | jp | 20s | 2.5 | 匿名 | YZERR - Miss Luxury feat. LANA, JP THE WAVY, ¥ellow Bucks Prod. DJ PMX  (Official Video)
62 | F9ZyiTQjO1o | jp | 20s | 2.5 | 匿名 | YZERR - カリスマ feat. LEX & Awich(Official Video)
63 | 6jNXSJOEsPM | jp | 20s | 2.5 | 匿名 | YZERR - SKYAMI (Official Visualiser)
64 | NLRbB4lTiYc | jp | 20s | 2.5 | 匿名 | YZERR - '95 Flow (Official Video)
65 | 9AO5C7ZozT4 | jp | 20s | 2.5 | 匿名 | YZERR - MONEY RAIN feat. YTG (Official Video)
66 | SMYIV2tuimE | jp | 20s | 2.5 | 匿名 | Private Night feat.Tiji Jojo, Tete & JP THE WAVY (360 Reality Audio ver.) / DJ CHARI & DJ TATSUKI
67 | _Fb03CxpYPU | jp | 20s | 2.5 | 匿名 | Feel feat. IO, 唾奇 & Yo-Sea【Official Video】/ DJ CHARI & DJ TATSUKI
68 | 7-4aU-0sF1k | jp | 20s | 2.5 | 匿名 | DJ TATSUKI - TOKYO KIDS feat. IO & MonyHorse (prod by MET as MTHA2)
69 | JYDsh8OezwQ | jp | 20s | 2.5 | 匿名 | DJ TATSUKI - City of Dreams feat. IO & MonyHorse
70 | F0U7wwXCqdo | jp | 20s | 2.5 | 匿名 | Watson, eyden - Working Class Anthem (Official Video)
71 | C7fDcH-m11g | jp | 20s | 2.5 | 匿名 | Watson - 生きる。ft. IO (Official Video)
72 | EDlaMGfOkUk | jp | 20s | 2.5 | 匿名 | Watson, IO - 知った。(Official Video)
73 | ZR20KmH9s5E | jp | 20s | 2.5 | 匿名 | KANDYTOWN - You Came Back (feat. KEIJU, IO, Holly Q, Gottz)
74 | C_oDQM_4Sbo | jp | 20s | 0 | 匿名 | KANDYTOWN - Curtain Call (feat. KEIJU, Ryohu, IO)
75 | iY340Z3BTdA | jp | 20s | 2.5 | 匿名 | KANDYTOWN - One More Dance
76 | RC1Ohcgvmos | jp | 20s | 2.5 | 匿名 | Gottz - Neon Step ft. Yo-Sea, Neetz
77 | Hm3U8lDEHf0 | jp | 20s | 2.5 | 匿名 | Gottz & MUD – Adrenalin
78 | d2nw9YCTcEg | jp | 20s | 2.5 | 匿名 | KANDYTOWN - PROGRESS
79 | TOsq3iuK1dQ | jp | 20s | 2.5 | 青木 喬 takashi aoki | FNCY「あなたになりたい」 Prod. : G.RINA　(ZEN-LA-ROCK / G.RINA / 鎮座DOPENESS)
80 | sozmNUDLPqg | jp | 20s | 2.5 | 青木 喬 takashi aoki | MACCHO , NORIKIYO , 般若& DABO / Beats&Rhyme
81 | MBoSNof1G8A | jp | 20s | 2.5 | 青木 喬 takashi aoki | 真夏のJAM / STERUSS
82 | 8anj9mGu8u4 | jp | 20s | 2.5 | 青木 喬 takashi aoki | SHUREN THE FIRE - 111Helicopter (DJ ANGO)
83 | vsT0tjBQuYE | jp | 20s | 2.5 | 青木 喬 takashi aoki | SHUREN THE FIRE - SPACE RADIO
84 | AL3HKT8he-w | jp | 20s | 2.5 | 青木 喬 takashi aoki | なのるなもない -  帰り道
85 | iC2TkH14rUY | jp | 20s | 2.5 | 青木 喬 takashi aoki | THE DEFENDER feat.なのるなもない,Ｍｅｉｓｏ  lyrics
86 | zG_fv80HJso | jp | 20s | 2.5 | 青木 喬 takashi aoki | DJ krush feat. 志人 - 結 (東京リボーン Remix)
87 | Qpx7CXIrz3o | jp | 20s | 2.5 | 青木 喬 takashi aoki | 禁断の惑星(志人/official Music)
88 | wM_-Ot7vvJs | jp | 20s | 2.5 | 青木 喬 takashi aoki | 云/鬼　呼　生　-たま　よび　いく- feat. 志人
89 | eN9k6Dz1SX0 | us | 20s | 2.5 | 青木 喬 takashi aoki | The Bug - 'Pressure (feat. Flowdan)' (Official Video)
90 | 8D5iyKXZcUQ | us | 20s | 2.5 | 青木 喬 takashi aoki | Blackalicious - Alphabet Aerobics
91 | EehPRA5USNw | us | 20s | 2.5 | 青木 喬 takashi aoki | Blackalicious - "Deception" (4k Remastered)
92 | MYwndYSA6-U | us | 20s | 2.5 | 青木 喬 takashi aoki | Blackalicious - Make You Feel That Way [HD]
93 | XwaiZYkixHM | us | 20s | 2.5 | 青木 喬 takashi aoki | Antipop Consortium - Perpendicular/Vector (official music video) 1080p HD
94 | WPzQh8ml900 | us | 20s | 2.5 | 青木 喬 takashi aoki | Young Fathers - "Sister"
95 | fcRKZkk79-w | us | 20s | 2.5 | 青木 喬 takashi aoki | Young Fathers - "I Heard"
96 | NJY85XaUfuY | us | 20s | 2.5 | 青木 喬 takashi aoki | Beans - Blue Movie
97 | axZ6lMlLQZ4 | us | 20s | 2.5 | 青木 喬 takashi aoki | 8 steps to perfection ( Better Audio ) - Company Flow
98 | 3m7E0Gk8gLI | us | 20s | 2.5 | 青木 喬 takashi aoki | Company Flow "End To End Burners" [HD]
99 | 0xtZOTeTTPA | jp | 20s | 2.5 | 匿名 | KANDYTOWN「Last Week」
100 | U38VmpgdYmI | jp | 20s | 2.5 | 匿名 | KIKUMARU - Up & Up feat. ¥ellow Bucks (Official Video)
101 | QIVu5YR2MW8 | jp | 20s | 2.5 | 匿名 | IO ''Mood Blue'' Trailer
102 | kIXrGAaSZNo | jp | 20s | 2.5 | 匿名 | KANDYTOWN - R.T.N
103 | QU7K7qw0yso | jp | 20s | 2.5 | 匿名 | KANDYTOWN - Paper Chase
104 | Lm55FG_WdL8 | jp | 20s | 2.5 | 匿名 | IO. Young Juju. Dony Joint. - We & 4Ever U
105 | ZdlctCtcYJw | jp | 20s | 2.5 | 匿名 | KANDYTOWN - Skweeze Me
106 | 1eUOYacqKe8 | jp | 20s | 2.5 | 匿名 | KANDYTOWN - IT'z REVL (IO, RYOHU, Mr.K, MUD)
107 | uP8ojmtSMSE | jp | 20s | 2.5 | 匿名 | IO - K14 (Noise Ver)
108 | D7ZdP8qtPkA | jp | 20s | 2.5 | 匿名 | KANDYTOWN - KOLD CHAIN (Noise Tape)
109 | DYMxaUr8R-Y | jp | 20s | 2.5 | 匿名 | KEIJU – Remy Up feat. IO (Official Audio) / Album "T.A.T.O."
110 | CqCqhMFvvfc | jp | 20s | 2.5 | 匿名 | KEIJU – Play Fast feat. Gottz (Official Audio) / Album "T.A.T.O."
111 | -bU3-FXJY2Y | jp | 20s | 2.5 | 匿名 | KEIJU – Hold You Down feat. MUD (Official Video) / Album "T.A.T.O."
112 | 3NQquyBn-jw | jp | 20s | 2.5 | 匿名 | KEIJU – I Get Lonely (Official Video) / Album "T.A.T.O."
113 | eT8_YynTCdM | jp | 20s | 2.5 | 匿名 | KEIJU – Mama's Boy ft. LEX & 7  (Official Video)
114 | qMhCXtTr3Yk | jp | 20s | 2.5 | 匿名 | KEIJU - backseat feat. Kvi Baba & tofubeats (Official Music Video)
115 | q47IW5Jkew4 | jp | 20s | 2.5 | 匿名 | KEIJU - K2 (Official Music Video)
116 | aUFBuC9JdFw | jp | 20s | 2.5 | 匿名 | KEIJU - 412 (Official Music Video)
117 | H4vBwHUZQs8 | jp | 20s | 2.5 | 匿名 | KEIJU - same side (Official Music Video)
118 | xrizNyOr548 | jp | 20s | 2.5 | 匿名 | Kohjiya - Never Disappoint (Official Music Video)
119 | CUY2nRYIp3g | jp | 20s | 2.5 | 匿名 | Kohjiya - Broke Boy Rich (Official Music Video)
120 | bROiWHawuaI | jp | 20s | 2.5 | 匿名 | Kohjiya - Tell Me How It Goes (Official Music Video)
121 | 4MgqOUlaTng | jp | 20s | 2.5 | 匿名 | Kohjiya - Visitor (Official Music Video)
122 | IIbAK6lxDGE | jp | 20s | 2.5 | 匿名 | Kohjiya - Ma Boyz feat.MIKADO,G-k.i.d&Tete (Official Music Video)
123 | -NAp76tsM4Q | jp | 20s | 2.5 | 匿名 | Kohjiya - Lost Friends (Official Music Video)
124 | s6bYv7lLbrU | jp | 20s | 2.5 | 匿名 | IO - Honto feat. Watson (Prod. GooDee)
125 | HdBUn10k7H8 | jp | 20s | 2.5 | 匿名 | IO – 左利きのBenz (Prod. Chaki Zulu)
126 | pZ2pQADvdW4 | jp | 20s | 2.5 | 匿名 | IO – Racin’ feat. Kohjiya (Prod. Mellow In Da Street, GooDee)
127 | 1u6wqZdgYxo | jp | 20s | 2.5 | 匿名 | IO - Spotlight (Prod. KORK)
128 | uuT4d7Tdmk8 | jp | 20s | 2.5 | 匿名 | IO - 1942 feat. YZERR (Prod. llouis)
129 | v2djlCRhbyc | jp | 20s | 2.5 | 匿名 | IO - Recognize feat. C.O.S.A. (Prod. C.O.S.A.)
130 | IW14wQJKSC4 | jp | 20s | 2.5 | 匿名 | IO - Trust Me feat. Crystal Kay, Shurkn Pap (Prod. YoungBeat’s Instrumental)
131 | GpaUkC7dtNw | jp | 20s | 2.5 | 匿名 | IO - Spotlight from JUST SHOW
132 | FEVr8aLoEP8 | jp | 20s | 2.5 | 匿名 | 武 - Sky Walk (Official Music Video)
133 | VH3DilJm63U | jp | 20s | 2.5 | hrk | 2WIN (T-PABLOW × YZERR) / DO IT LIKE ME feat. EGO - Official Video -
134 | A1B2C3D4E5J | us | 20s | 2.5 | 匿名 | Untitled
135 | TnJMBcQFNME | jp | 20s | 2.5 | hrk | AKLO "RGTO" feat.SALU, 鋼田テフロン & Kダブシャイン
136 | 3GB9CGFaUmU | jp | 20s | 2.5 | hrk | AKLO / DIRTY WORK (REMIX) feat.ANARCHY
137 | dDJw8yJVY5g | jp | 20s | 2.5 | hrk | (sic)boy,KM - Heaven's Drive feat.vividboooy
138 | Z9sbVGWksUg | jp | 20s | 2.5 | hrk | DADA - " High School Dropout " (Official Music Video)
139 | CAIWfSYelKI | jp | 20s | 2.5 | hrk | vividboooy - RELAXING [Official Video]
140 | A1B2C3D4E5I | us | 20s | 2.5 | 匿名 | Untitled
